inclusion_filter,story_condition,load_condition,analysis_scope,agent_role,dv,condition,n,mean,median,std
included_only,firework,pooled,between_subjects_first_vignette,distal,wrong,DIV,52,6.826923076923077,6.5,1.5303614060680255
included_only,firework,pooled,between_subjects_first_vignette,distal,punish,CC,34,1.9481335243357965,1.791759469228055,0.3261531831330151
included_only,firework,pooled,between_subjects_first_vignette,distal,punish,CH,28,2.071784290118507,1.9356005054539454,0.3222380068184404
included_only,firework,pooled,between_subjects_first_vignette,distal,punish,DIV,52,2.0209275803229305,1.791759469228055,0.340510371887645
included_only,firework,pooled,within_subjects_deltas,distal,blame,CH - CC,114,0.5614035087719298,1.0,0.8522234087342704
included_only,firework,pooled,within_subjects_deltas,distal,blame,DIV - CC,114,0.40350877192982454,0.0,0.7492686492653552
included_only,firework,pooled,within_subjects_deltas,distal,blame,"MIN(CH, DIV) - CC",114,0.14035087719298245,0.0,0.7628218802108571
included_only,firework,pooled,within_subjects_deltas,proximate,blame,CC - CH,114,6.342105263157895,6.0,0.860427423815321
included_only,firework,pooled,within_subjects_deltas,distal,wrong,CH - CC,114,0.4649122807017544,1.0,0.7663246910156549
included_only,firework,pooled,within_subjects_deltas,distal,wrong,DIV - CC,114,-0.02631578947368421,0.0,1.2370427648425786
included_only,firework,pooled,within_subjects_deltas,distal,wrong,"MIN(CH, DIV) - CC",114,-0.18421052631578946,0.0,1.2377955674467698
included_only,firework,pooled,within_subjects_deltas,proximate,wrong,CC - CH,114,5.385964912280702,6.0,1.6103029557749144
included_only,firework,pooled,within_subjects_deltas,distal,punish,CH - CC,114,0.17990842961267606,0.23978654013094314,0.3087132750876925
included_only,firework,pooled,within_subjects_deltas,distal,punish,DIV - CC,114,0.13017264220997551,0.1438410362258904,0.34159502096150063
included_only,firework,pooled,within_subjects_deltas,distal,punish,"MIN(CH, DIV) - CC",114,-0.0042427442928551365,0.0,0.30645219275809676
included_only,firework,pooled,within_subjects_deltas,proximate,punish,CC - CH,114,2.2028703974897734,2.3978952727983707,0.5599022302725322
included_only,firework,high,within_subjects_all_vignettes,distal,blame,CC,58,7.775862068965517,8.0,0.8794556420054928
