inclusion_filter,story_condition,load_condition,analysis_scope,agent_role,dv,condition,n,mean,median,std
included_only,parade,high,within_subjects_deltas,clark,blame,"MIN(CH,DIV)-CC",69,0.37681159420289856,0.0,1.373075651008716
included_only,parade,high,within_subjects_deltas,proximate,blame,CC-CH_proximate,69,2.4782608695652173,2.0,3.037068515236429
included_only,parade,high,within_subjects_deltas,clark,wrongness,CH-CC,69,1.173913043478261,1.0,1.7060146346101008
included_only,parade,high,within_subjects_deltas,clark,wrongness,DIV-CC,69,0.2028985507246377,0.0,2.076335219910081
included_only,parade,high,within_subjects_deltas,clark,wrongness,"MIN(CH,DIV)-CC",69,-0.028985507246376812,0.0,1.9997868599130735
included_only,parade,high,within_subjects_deltas,proximate,wrongness,CC-CH_proximate,69,1.5507246376811594,1.0,2.7036806714293258
included_only,parade,high,within_subjects_deltas,clark,punishment,CH-CC,69,2.710144927536232,1.0,4.0804463757959075
included_only,parade,high,within_subjects_deltas,clark,punishment,DIV-CC,69,0.9565217391304348,0.0,5.523838133380193
included_only,parade,high,within_subjects_deltas,clark,punishment,"MIN(CH,DIV)-CC",69,0.18840579710144928,0.0,3.919316275602314
included_only,parade,high,within_subjects_deltas,proximate,punishment,CC-CH_proximate,69,5.144927536231884,3.0,9.765297746008628
included_only,parade,low,within_subjects_all_vignettes,clark,blame,CC,78,6.0,6.0,2.0576117791668658
included_only,parade,low,within_subjects_all_vignettes,clark,blame,CH,78,7.089743589743589,7.0,1.676312414206645
included_only,parade,low,within_subjects_all_vignettes,clark,blame,DIV,78,6.743589743589744,7.0,2.0157554572095457
included_only,parade,low,within_subjects_all_vignettes,clark,wrongness,CC,78,5.910256410256411,6.0,2.151326364874732
included_only,parade,low,within_subjects_all_vignettes,clark,wrongness,CH,78,6.871794871794871,7.0,2.028107520133022
included_only,parade,low,within_subjects_all_vignettes,clark,wrongness,DIV,78,6.294871794871795,7.0,2.0519801925512615
included_only,parade,low,within_subjects_all_vignettes,clark,punishment,CC,78,3.7948717948717947,2.0,6.580883322778584
included_only,parade,low,within_subjects_all_vignettes,clark,punishment,CH,78,6.102564102564102,3.0,8.548698911545141
included_only,parade,low,within_subjects_all_vignettes,clark,punishment,DIV,78,6.782051282051282,3.0,10.38811438197137
included_only,parade,low,within_subjects_all_vignettes,proximate,blame,CC,78,7.871794871794871,9.0,1.811643254631353
included_only,parade,low,within_subjects_all_vignettes,proximate,blame,CH,78,5.794871794871795,6.0,2.3978289658738694
included_only,parade,low,within_subjects_all_vignettes,proximate,wrongness,CC,78,7.82051282051282,9.0,1.9119826504646047
included_only,parade,low,within_subjects_all_vignettes,proximate,wrongness,CH,78,6.358974358974359,7.0,2.3242055421006556
included_only,parade,low,within_subjects_all_vignettes,proximate,punishment,CC,78,11.41025641025641,5.0,14.011531333976682
included_only,parade,low,within_subjects_all_vignettes,proximate,punishment,CH,78,7.4743589743589745,4.0,11.438967757187855
included_only,parade,low,between_subjects_first_vignette,clark,blame,CC,21,4.9523809523809526,4.0,2.268836496449017
included_only,parade,low,between_subjects_first_vignette,clark,blame,CH,28,6.964285714285714,7.0,1.59819673514646
